pid,vid,set,caption
P00000270,V008.mp4_63689_63902.avi.npy,test,double fault
P00000271,V008.mp4_64570_64743.avi.npy,test,np aims a high kick serve fp delivers a rs return rally fp fails to keep a cross-court rs in the play
P00000272,V008.mp4_65118_65333.avi.npy,test,good serve in the middle fp returns a rs return np rs down the line lands out-side the court
P00000273,V008.mp4_66109_66270.avi.npy,test,np aims a bodyline serve fp returns a quick ls return np ls doesn't clear the net
P00000274,V008.mp4_67071_67365.avi.npy,test,np serves a good one fp returns a rs return short rally np hits a rs winner down the line
P00000275,V008.mp4_67793_68119.avi.npy,test,good serve in the middle fp delivers a rs return short rally fp pulls a rs wide of the court
P00000276,V008.mp4_68992_69256.avi.npy,test,fine serve fp works a ls return rally fp whips a ls cross-court winner
P00000277,V008.mp4_70034_70301.avi.npy,test,quick serve fp returns a rs return couple of shots exchanged fp blasts a ls winner down the line
P00000278,V008.mp4_71251_71530.avi.npy,test,fp serves a good one np returns a quick ls return good rally fp rs fails to land inside the court
P00000279,V008.mp4_71943_72143.avi.npy,test,good serve in the corner np returns a ls return fp hits a ls cross-court winner
P00000280,V008.mp4_72619_72823.avi.npy,test,acute angled slice serve np puts back a rs return fp produces a rs cross-court winner
P00000281,V008.mp4_73319_73446.avi.npy,test,gigantic serve down the t is an ace
P00000282,V008.mp4_73876_73979.avi.npy,test,fast serve np only manages to touch it
P00000283,V008.mp4_76466_76934.avi.npy,test,good serve in the middle np returns a quick ls return good rally fp ls doesn't make it over the net
P00000284,V008.mp4_77423_77772.avi.npy,test,fine serve np returns a ls return rally fp ls miss-hit doesn't land in the court
P00000285,V008.mp4_78346_78459.avi.npy,test,fp hits a slice serve np hammers a rs return winner cross-court
P00000286,V008.mp4_78943_79186.avi.npy,test,fp serves a good one np works a ls return fp sends a rs into the net
P00000287,V009.mp4_5908_6019.avi.npy,train,good bodyline serve np miss-hits the return which doesn't make it over the net
P00000288,V009.mp4_6465_7360.avi.npy,train,quick serve np returns a slice ls return huge rally fp whips a ls cross-court winner
P00000289,V009.mp4_8392_8842.avi.npy,train,high kick serve np returns a quick ls return long rally np ls slice goes straight into the net
P00000290,V009.mp4_9463_9834.avi.npy,train,fine serve np works a rs return brief rally np smacks a rs winner down the line
P00000291,V009.mp4_10488_10702.avi.npy,train,fp aims a fine serve at t np ls slice return a few shots np ls hits the net in the middle
P00000292,V009.mp4_11878_11972.avi.npy,train,good serve out wide np stretching rs return doesn't make it over the net
P00000293,V009.mp4_12315_12416.avi.npy,train,monumental serve in the corner is an ace
P00000294,V009.mp4_12952_13136.avi.npy,train,fp produces good wide serve np just manages a rs return a few shots exchanged np ls hits the net
P00000295,V009.mp4_13672_13772.avi.npy,train,double fault
P00000296,V009.mp4_14134_14238.avi.npy,train,fp arrows a good out wide np is unable to return it over the net
P00000297,V009.mp4_15211_15563.avi.npy,train,quick serve fp returns a quick ls return couple of shots exchanged fp strokes a ls cross-court winner at net
P00000298,V009.mp4_16568_16735.avi.npy,train,np arrows a bodyline serve fp puts back a rs return coming to net np struggles to keep a cross-court rs in a rally
P00000299,V009.mp4_17348_17512.avi.npy,train,np hits a flat serve at t fp rs return lands long
P00000300,V009.mp4_17990_18139.avi.npy,train,np hits a serve out wide fp has no answer to it
P00000301,V009.mp4_18951_19183.avi.npy,train,quick serve fp returns a rs return couple of shots exchanged np rs goes outside the court
P00000302,V009.mp4_20059_20178.avi.npy,train,bodyline serve fp slice rs return lands long
P00000303,V009.mp4_20680_20821.avi.npy,train,np arrows a bodyline serve fp struggles with it
P00000304,V009.mp4_21571_21697.avi.npy,train,np serves a heavy serve out wide it's an ace
P00000305,V009.mp4_24545_24803.avi.npy,train,quick serve fp crafts a rs return couple of shots exchanged fp blasts a ls winner cross-court
P00000306,V009.mp4_25252_26030.avi.npy,train,np aims a high kick serve at the t fp crafts a ls return extended rally fp rs lob lands long of the court
P00000307,V009.mp4_26460_26548.avi.npy,train,np hits a flat serve at t it's an ace
P00000308,V009.mp4_27045_27147.avi.npy,train,np hits a bodyline serve fp rs return just lands wide
P00000309,V009.mp4_27481_27635.avi.npy,train,quick serve fp hammers a ls return np unable to get it back
P00000310,V009.mp4_28285_28655.avi.npy,train,good serve out wide fp crafts a rs return good rally fp ls lands just wide of the court
P00000311,V009.mp4_29640_29963.avi.npy,train,fine serve np works a ls slice return intense rally np rs is unable to clear the net
P00000312,V009.mp4_30433_30632.avi.npy,train,quick serve np returns a rs return fp hits a rs straight into the net
P00000313,V009.mp4_31581_31835.avi.npy,train,fine serve placed at t np returns a ls slice return short rally np nets a rs down the line
P00000314,V009.mp4_32383_32690.avi.npy,train,fine serve np puts back a ls return intense rally fp rushes to net and punches a ls volley winner
P00000315,V009.mp4_33552_33739.avi.npy,train,fp hits a flat serve at t np ls slice return a few shots exchange np rs down the line lands long
P00000316,V009.mp4_36161_36396.avi.npy,train,good serve sent at t np delivers a ls return brief rally fp miss-hits a ls and fails to clear the net
P00000317,V009.mp4_36740_36901.avi.npy,train,quick serve np returns a quick ls return fp sprays a ls outside the court
P00000318,V009.mp4_37320_37446.avi.npy,train,good slice serve np ls return lands long of the court
P00000319,V009.mp4_37824_37976.avi.npy,train,good serve np just manages a ls return fp comes to net a smashes a ls winner
P00000320,V009.mp4_38461_38566.avi.npy,train,slice serve np fails to put it back
P00000321,V009.mp4_39390_39729.avi.npy,train,quick serve np returns a rs return couple of shots exchanged fp flashes a ls cross-court winner
P00000322,V009.mp4_41107_42024.avi.npy,train,np aims a high kick serve fp works a ls return extended rally np cross-court ls is not able to clear the net
P00000323,V009.mp4_43011_43528.avi.npy,train,fine serve placed at t fp returns a quick ls return testing rally np comes in quickly and volleys a rs winner
P00000324,V009.mp4_45060_45206.avi.npy,train,np hits a bodyline serve fp has no answer to it
P00000325,V009.mp4_45674_45835.avi.npy,train,np produces a bodyline serve fp is unable to return it over the net
P00000326,V009.mp4_46561_46692.avi.npy,train,double fault
P00000327,V009.mp4_47257_47361.avi.npy,train,mighty serve down the t is an ace
P00000328,V009.mp4_49848_50216.avi.npy,train,quick serve fp returns a ls return couple of shots exchanged np goes for a rs down the line but misses the target
P00000329,V009.mp4_50599_50708.avi.npy,train,good serve aimed at t is an ace
P00000330,V009.mp4_51016_51174.avi.npy,train,heavy serve aimed out wide fp delivers a ls return np cross-court ls is not able to clear the net
P00000331,V009.mp4_51877_52242.avi.npy,train,np serves a high kick serve down the t fp works a ls return intense rally np moves closer to net goes for a ls volley but struggles to execute it properly
P00000332,V009.mp4_53432_54018.avi.npy,train,np aims a high kick serve fp returns a quick rs return extended rally fp cross-court ls lands wide of the court
P00000333,V009.mp4_55289_55488.avi.npy,train,fine serve placed out wide fp returns a rs return short rally np cross-court ls lands at the net
P00000334,V009.mp4_56843_57390.avi.npy,train,fp serves a high kick serve np delivers a ls return intense rally np sends a ls cross-court out of the court
P00000335,V009.mp4_58017_58236.avi.npy,train,quick serve np crafts a ls return fp digs in a rs winner down the line
P00000336,V009.mp4_58769_59020.avi.npy,train,fp serves a good one np works a ls return brief rally np puts a rs into the net
P00000337,V009.mp4_59513_59654.avi.npy,train,good serve out wide np returns a ls return fp strokes a ls cross-court winner
P00000338,V009.mp4_62635_62966.avi.npy,train,fine serve np delivers a rs return brief rally np ls slice lands wide of the court
P00000339,V009.mp4_63303_63655.avi.npy,train,quick serve np returns a quick rs return good rally fp dumps a rs volley into the net
P00000340,V009.mp4_64105_64187.avi.npy,train,fast serve down t is an ace
P00000341,V009.mp4_64500_64885.avi.npy,train,good serve in the middle np crafts a ls return short rally np produces a rs cross-court winner
P00000342,V009.mp4_66044_66469.avi.npy,train,good serve in the middle np crafts a ls return good rally np rs cross-court lands long
P00000343,V009.mp4_67090_67379.avi.npy,train,quick serve np returns a ls return brief rally fp charges towards the net and hits a rs volley winner
P00000344,V009.mp4_68753_69067.avi.npy,train,good serve sent at t np delivers a ls return well contensted rally fp moves upto the net and places a rs volley winner
P00000345,V009.mp4_69893_70160.avi.npy,train,fine serve np puts back a ls return brief rally np rs goes outside the court
P00000346,V009.mp4_70756_70961.avi.npy,train,quick serve np crafts a ls return couple of shots exchanged np produces a ls winner down the line
P00000347,V009.mp4_71541_71790.avi.npy,train,fp serves a good one np works a ls return short rally np hits a ls winner down the line
P00000348,V009.mp4_72746_72948.avi.npy,train,flat serve aimed at t np delivers a ls return short rally np cross-court ls catches the net
P00000349,V009.mp4_73492_73884.avi.npy,train,fine serve np delivers a ls return good rally fp rs goes into the the net
P00000350,V009.mp4_74620_74748.avi.npy,train,fp aims a fine bodyline np only manages a rs that hits the net
P00000351,V009.mp4_75228_75396.avi.npy,train,fp serves a good one np returns cross-court ls slice fp cross-court ls fails to make it over the net
P00000352,V009.mp4_76067_76291.avi.npy,train,good serve in the middle np crafts a ls return short rally fp ls fails to land inside the court
P00000353,V009.mp4_77013_77138.avi.npy,train,fp hits a fast serve out wide np has no answer to it
P00000354,V009.mp4_77720_77892.avi.npy,train,fp goes for a out-wide serve np works a rs return fp rs lands out-side the court
P00000355,V009.mp4_78526_79086.avi.npy,train,fp aims a high kick serve np crafts a ls return extended rally np ls slice goes straight into the net
P00000356,V009.mp4_79853_80041.avi.npy,train,fp hits a flat serve at t np ls return just lands wide
P00000357,V009.mp4_80840_81360.avi.npy,train,good serve in the middle np returns a ls return long rally fp produces a rs cross-court winner
P00000358,V009.mp4_82256_82337.avi.npy,train,flat serve down t is an ace
P00000359,V009.mp4_82640_82997.avi.npy,train,good serve out wide fp returns a cross-court rs brief rally fp misses a ls volley at net
P00000360,V009.mp4_83344_83425.avi.npy,train,np hits a flat serve at t it's an ace
P00000361,V009.mp4_83932_84186.avi.npy,train,np hits a good serve out wide fp returns a good rs return short rally fp misses a ls lob down the line
P00000362,V009.mp4_87178_87292.avi.npy,train,np aims a bodyline serve fp rs return is wide
P00000363,V009.mp4_87737_88054.avi.npy,train,np serves a good one fp puts back a rs return good rally np hits a ls cross-court but it lands long
P00000364,V009.mp4_88538_88709.avi.npy,train,np arrows a bodyline serve fp struggles with it
P00000365,V009.mp4_89217_89287.avi.npy,train,great serve down the t is an ace
P00000366,V009.mp4_90207_90391.avi.npy,train,quick serve fp returns a rs return np produces a ls winner down the line
P00000367,V009.mp4_90942_91134.avi.npy,train,fp serves a good one np delivers a rs return fp sends a ls out of the court
P00000368,V009.mp4_91495_91930.avi.npy,train,good serve in the middle np returns a quick ls return good rally np comes to net and hits a ls volley winner
P00000369,V009.mp4_92512_92633.avi.npy,train,fast serve down t np ls slice fails to land in the court
P00000370,V009.mp4_92992_93090.avi.npy,train,great serve in the corner is an ace
P00000371,V009.mp4_94156_94474.avi.npy,train,fp serves in the middle np manages a rs return good rally np blasts a rs winner cross-court
P00000372,V009.mp4_95056_95177.avi.npy,train,wide serve catches the line and is an ace
P00000373,V009.mp4_95607_95764.avi.npy,train,good serve down t np crafts a ls slice return fp slams a ls winner down the line
P00000374,V009.mp4_96207_96461.avi.npy,train,fine serve placed at t np works a rs return couple of shots exchanged fp cross-court rs lands just wide
P00000375,V009.mp4_96892_97031.avi.npy,train,good serve out wide np just manages a rs return fp hits a rs cross-court winner
P00000376,V009.mp4_97572_97751.avi.npy,train,good serve out wide np crafts a ls return fp diving rs volley is a miss-hit
P00000377,V009.mp4_98353_98475.avi.npy,train,fine serve at t np ls return lands long
P00000378,V009.mp4_98816_98983.avi.npy,train,good serve in the middle np crafts a ls return fp cross-court ls fails to land inside the court
P00000379,V009.mp4_99704_99897.avi.npy,train,fine serve np works a ls return brief rally np rs down the line just lands long
P00000380,V009.mp4_100566_100712.avi.npy,train,quick serve np returns a ls return fp rs lands at the net in the middle
P00000381,V009.mp4_101171_101289.avi.npy,train,good serve aimed at t np only reaches to it
P00000382,V009.mp4_101719_101829.avi.npy,train,fp hits a flat serve at t np struggles to put it back
P00000383,V009.mp4_104933_105132.avi.npy,train,fine serve np puts back a ls return brief rally np cross-court rs finds the net in the middle
P00000384,V009.mp4_105574_105748.avi.npy,train,good serve np fails to get it back
P00000385,V009.mp4_106173_106429.avi.npy,train,fp serves a good one np works a ls return short rally fp hits a ls but fails to clear the net
P00000386,V009.mp4_106991_107389.avi.npy,train,good serve in the middle np returns a ls return good rally fp cross-court ls finds the net in the middle
P00000387,V009.mp4_108517_108760.avi.npy,train,fine serve np delivers a ls return fp rs flies outside the court
P00000388,V009.mp4_110022_110204.avi.npy,train,fp aims a fine serve wide np just manages a ls slice return fp comes to net and hits a ls winner
P00000389,V009.mp4_110836_111339.avi.npy,train,fp serves a good one np puts back a ls return good rally np sends a rs cross-court into the net
P00000390,V009.mp4_112283_112516.avi.npy,train,fp hits a in the middle np hits a ls return short rally fp comes to net and hits a rs volley winner
P00000391,V009.mp4_113264_113344.avi.npy,train,fine serve down the t is an ace
P00000392,V009.mp4_113604_113709.avi.npy,train,fast serve down the t fp return flies into net
P00000393,V009.mp4_113946_114075.avi.npy,train,bodyline serve fp ls return np rushes to net and smashes a rs winner
P00000394,V009.mp4_114408_114630.avi.npy,train,high kick serve fp returns a rs return short rally np comes to net attempts a rs smash but it hits the net
P00000395,V009.mp4_115027_115127.avi.npy,train,fine serve fp is unable to return it
P00000396,V009.mp4_118074_118218.avi.npy,train,heavy serve aimed at t fp is unable to return it
P00000397,V009.mp4_118582_118733.avi.npy,train,fast serve fp rs return lands out
P00000398,V009.mp4_119090_119595.avi.npy,train,good serve in the middle fp returns a ls return good rally np goes for a rs down the line but misses the target
P00000399,V009.mp4_120381_120493.avi.npy,train,massive serve down the t is an ace
P00000400,V009.mp4_120858_121015.avi.npy,train,np hits a good serve fp struggles with it
P00000401,V009.mp4_121656_121755.avi.npy,train,quick serve is an ace
P00000402,V009.mp4_122018_122115.avi.npy,train,fp arrows a wide serve np struggles with it
P00000403,V009.mp4_122477_122578.avi.npy,train,fp hits a fast serve in the middle np ls lands out
P00000404,V009.mp4_123458_123624.avi.npy,train,quick serve np returns a rs return fp pulls a ls cross-court wide of the court
P00000405,V009.mp4_124099_124492.avi.npy,train,fp serves a good one np delivers a ls return well contensted rally fp comes to net attempts a ls volley but fails to make it over the net
P00000406,V009.mp4_125059_125220.avi.npy,train,good serve in the middle np returns a quick rs return short rally fp miss-hits a ls and it lands out
P00000407,V009.mp4_125940_126094.avi.npy,train,fine serve np puts back a ls return fp sprays a ls into the net
P00000408,V009.mp4_126605_126774.avi.npy,train,heavy serve aimed at t np crafts a rs return fp blasts a ls winner down the line
P00000409,V009.mp4_127250_127399.avi.npy,train,good serve aimed at t np only reaches to it
P00000410,V009.mp4_127988_128257.avi.npy,train,good serve in the middle np returns a ls return short rally fp pulls a ls cross-court into the net
P00000411,V009.mp4_129113_129196.avi.npy,train,quick serve down the t is an ace
P00000412,V009.mp4_129596_129677.avi.npy,train,short angled serve np only manages to touch it
P00000413,V009.mp4_132461_132832.avi.npy,train,fp serves a good one np puts back a ls return good rally np struggles to keep a cross-court rs in a rally
P00000414,V009.mp4_133573_133702.avi.npy,train,double fault
P00000415,V009.mp4_134314_134463.avi.npy,train,fast serve np is unable to return it
P00000416,V009.mp4_135126_135267.avi.npy,train,fp produces a bodyline serve np is unable to return it
P00000417,V009.mp4_135735_135888.avi.npy,train,good serve down t np ls return lands long of the court
P00000418,V009.mp4_136583_136718.avi.npy,train,good serve fp hits a shallow rs return np comes to net and hits a rs winner
P00000419,V009.mp4_137358_137424.avi.npy,train,np hits a bodyline serve fp has no answer to it
P00000420,V009.mp4_137771_137872.avi.npy,train,np aims a fine serve at t fp rs return doesn't make it over the net
P00000421,V009.mp4_138485_138589.avi.npy,train,good serve fp miss-hits into the net
P00000422,V009.mp4_141355_141551.avi.npy,train,np hits a flat in the middle fp hits a good ls return np ls goes long
P00000423,V009.mp4_141996_142148.avi.npy,train,fine serve fp delivers a rs return but it lands wide
P00000424,V009.mp4_142927_143254.avi.npy,train,quick serve fp returns a quick rs return short rally fp ls drop-shot is a winner
P00000425,V009.mp4_143967_144120.avi.npy,train, huge serve guided wide fp puts back a rs return np flashes a rs cross-court winner
P00000426,V009.mp4_144827_144917.avi.npy,train,np hits a flat serve at t it's an ace
P00000427,V009.mp4_145376_145576.avi.npy,train,fine serve fp works a rs return brief rally fp cross-court rs lands at the net
P00000428,V009.mp4_146598_146755.avi.npy,train,good serve wide np crafts a rs return a few shots exchanged np rs hits the net in the middle
P00000429,V009.mp4_147682_147896.avi.npy,train,good bodyline serve fp manages a ls return np rushes to net fp hits a rs into the net
P00000430,V009.mp4_148529_149427.avi.npy,train,np serves down the t fp returns a rs return huge rally np hits a rs cross-court into the net
P00000431,V009.mp4_150415_150744.avi.npy,train,fp serves in the middle np hits a ls return short rally np rs lands wide
P00000432,V009.mp4_151230_151338.avi.npy,train,huge serve wide is an ace
P00000433,V009.mp4_152393_152656.avi.npy,train,np serves a bodyline serve fp manages a rs return brief rally fp rs hits the net
P00000434,V009.mp4_153908_154044.avi.npy,train,fp aims a good serve down the t np is unable to return it
P00000435,V009.mp4_155155_155359.avi.npy,train,good serve in the middle fp returns a rs return short rally np runs to the net crafts a rs volley but misses the target
P00000436,V009.mp4_156221_156746.avi.npy,train,good serve in the middle fp returns a rs return good rally np comes in quickly and volleys a ls winner
P00000437,V009.mp4_158021_158595.avi.npy,train,fp serves a high kick serve np delivers a ls return lengthy exchange between the players fp cross-court rs fails to land inside the court
P00000438,V009.mp4_159525_159882.avi.npy,train,quick serve np returns a quick ls return good rally np fails to keep a cross-court rs in the play
P00000439,V009.mp4_160654_160778.avi.npy,train,mighty serve is an ace
P00000440,V009.mp4_164664_164816.avi.npy,train,np hits a flat serve at t fp struggles to put it back
P00000441,V009.mp4_165254_165392.avi.npy,train,np arrows a good serve at t fp is unable to return it
P00000442,V009.mp4_165758_165959.avi.npy,train,flat serve aimed at t fp delivers a rs return np comes to net and slaps a ls cross-court winner
P00000443,V009.mp4_166671_166774.avi.npy,train,double fault
P00000444,V009.mp4_167109_167452.avi.npy,train,fine serve placed at t fp crafts a rs return short rally fp cross-court rs lands at the net
P00000445,V009.mp4_168631_168859.avi.npy,train,fine serve fp puts back a rs return brief rally fp strokes a ls lob cross-court winner
P00000446,V009.mp4_169279_169372.avi.npy,train,slice serve fp fails to put it back
P00000447,V009.mp4_169716_169911.avi.npy,train,quick serve pointed out wide fp delivers a ls return np hits a ls long out of court
P00000448,V009.mp4_170548_170865.avi.npy,train,good serve in the middle fp returns a rs return good rally np ls cross-court hit goes out of court
P00000449,V009.mp4_171370_171583.avi.npy,train,good serve sent at t fp crafts a rs return brief rally fp cracks a rs down the line but it's wide
P00000450,V009.mp4_172283_172451.avi.npy,train,quick serve fp returns a ls return np strokes a rs cross-court winner
P00000451,V009.mp4_173642_173830.avi.npy,train,np aims a high kick serve fp returns a rs return a few shots exchanged fp cross-court rs catches the net
P00000452,V009.mp4_174246_174412.avi.npy,train,np arrows a bodyline serve fp struggles with it
P00000453,V009.mp4_175626_175810.avi.npy,train,quick out-wide down the t np stretches to return a ls fp comes to net and slams a ls winner
P00000454,V009.mp4_176606_177097.avi.npy,train,quick serve np returns a ls return long rally fp ls finds the net
P00000455,V009.mp4_178155_178432.avi.npy,train,fp serves a good one np delivers a ls return good rally fp reaches to the net and places a ls volley winner
P00000456,V009.mp4_179152_179287.avi.npy,train,fp arrows a good serve in the corner np ls slice hits the net
P00000457,V009.mp4_179961_180159.avi.npy,train,huge serve guided at t np puts back a ls return a few shots exchanged np rushes to net and hits a rs smash winner
P00000458,V009.mp4_181545_181984.avi.npy,train,quick serve np crafts a ls return good rally fp pulls ls into the net
P00000459,V009.mp4_182800_182942.avi.npy,train,good serve down the t np return doesn't make it over the net
P00000460,V009.mp4_183689_184053.avi.npy,train,fp arrows a bodyline serve np returns a cross-court ls slice good rally np cross-court ls lands just wide
P00000461,V009.mp4_186847_187135.avi.npy,train,fine bodyline serve np manages a ls return brief rally np hits a rs lob which doesn't make it over the net
P00000462,V009.mp4_187597_187689.avi.npy,train,fast wide serve np is unable to return it
P00000463,V009.mp4_188335_188570.avi.npy,train,bodyline serve np crafts a ls return a few shots exchanged np rs cross-court lands just long
P00000464,V009.mp4_188839_188986.avi.npy,train,good serve in the middle np crafts a ls return fp pulls a ls cross-court volley into the net
P00000465,V009.mp4_189620_189767.avi.npy,train,fp arrows a good serve at t np ls return just lands long
P00000466,V009.mp4_190907_191246.avi.npy,train,flat serve aimed at t fp returns a rs return hard fought rally fp charges towards the net and hits a rs volley winner
P00000467,V009.mp4_191917_192049.avi.npy,train,np serves a heavy ace
P00000468,V009.mp4_192602_192750.avi.npy,train,np arrows a good serve in the middle fp struggles with it
P00000469,V009.mp4_193131_193321.avi.npy,train,fine serve fp puts back a rs return np rs goes outside the court
P00000470,V009.mp4_193915_194186.avi.npy,train,quick serve fp crafts a rs return couple of shots exchanged fp sends a ls outside the court
P00000471,V009.mp4_194760_194962.avi.npy,train,np serves a good one fp works a rs return fp over-cooks a ls slice which lands long
P00000472,V009.mp4_197777_198228.avi.npy,train,good serve fp returns a rs return long rally np comes to net and slaps a ls winner down the line
P00000473,V009.mp4_199274_199389.avi.npy,train,np arrows a good bodyline serve fp is unable to return it
P00000474,V009.mp4_199962_200043.avi.npy,train,fine serve fp returns a quick ls return winner
P00000475,V009.mp4_200542_200693.avi.npy,train,np aims a high kick serve fp returns a quick ls return a few shots exchanged fp produces a rs winner down the line
P00000476,V009.mp4_201205_201327.avi.npy,train,good serve fp fails to put it back
P00000477,V009.mp4_201899_202080.avi.npy,train,np aims a bodyline serve fp delivers a rs return np slaps a rs winner down the line
P00000478,V009.mp4_202968_203119.avi.npy,train,fp aims a fine serve at t np only manages to touch it
P00000479,V009.mp4_203489_203921.avi.npy,train,fp serves a good one np delivers a ls return good rally np runs to the net and places a rs smash winner
P00000480,V009.mp4_204694_204945.avi.npy,train,good serve in the middle np returns a quick ls return short rally np produces a ls winner down the line
P00000481,V009.mp4_205575_205722.avi.npy,train,fp hits a bodyline serve np has no answer to it
P00000482,V009.mp4_206313_206560.avi.npy,train,quick serve np crafts a ls return couple of shots exchanged np hits a rs but fails to clear the net
P00000483,V009.mp4_207098_207425.avi.npy,train,fp serves a good one np works a ls return good rally fp nets a ls
P00000484,V009.mp4_208445_208904.avi.npy,train,good serve in the middle np returns a rs return long rally fp produces a ls cross-court winner
P00000485,V009.mp4_209733_210050.avi.npy,train,fine serve np delivers a rs return brief rally fp cross-court ls goes into the the net
P00000486,V009.mp4_211339_211769.avi.npy,train,quick serve np returns a ls return good rally fp cross-court ls fails to clear the net in the middle
P00000487,V009.mp4_212587_213203.avi.npy,train,fp serves a good bodyline serve np manages a ls return long rally fp slams a ls winner down the line
P00000488,V009.mp4_214112_214257.avi.npy,train,fp arrows a serve down the t np struggles to return it over the net
P00000489,V009.mp4_215192_215422.avi.npy,train,fp hits a bodyline serve np hits a ls return brief rally np ls hits the net in the middle
P00000490,V009.mp4_218021_218125.avi.npy,train,fp aims a fine serve at t it's an ace
P00000491,V009.mp4_218629_218784.avi.npy,train,good serve np hits a ls return fp hits a ls winner down the line
P00000492,V009.mp4_219387_219489.avi.npy,train,good serve np fails to put it back over the net
P00000493,V009.mp4_219772_219956.avi.npy,train,fp arrows a good serve in the middle np manages a ls return fp hits a ls winner cross-court
P00000494,V009.mp4_220941_221216.avi.npy,train,heavy bodyline serve fp crafts a rs return couple of shots exchanged np produces a rs cross-court winner at net
P00000495,V009.mp4_222109_222323.avi.npy,train,np serves a good one fp works a rs return short rally np hits a rs winner down the line
P00000496,V009.mp4_223262_223460.avi.npy,train,good serve in the middle fp crafts a ls return a few shots exchanged np rs cross-court lands long
P00000497,V009.mp4_224404_224697.avi.npy,train,quick serve fp returns a quick rs return couple of shots exchanged fp nets a ls
P00000498,V009.mp4_225584_225821.avi.npy,train,np serves a good one fp puts back a rs return a few shots exchanged np struggles to keep a cross-court rs in the court
P00000499,V009.mp4_226678_226909.avi.npy,train,heavy serve aimed at t fp returns a quick ls return short rally np pulls a ls cross-court wide of the court
P00000500,V009.mp4_227958_228127.avi.npy,train,np serves in the middle fp returns a rs return np fails to keep a rs in the play
P00000501,V009.mp4_228874_229156.avi.npy,train,quick serve fp returns a rs return couple of shots exchanged np surges towards the net and hits a smash winner
P00000502,V009.mp4_229866_230014.avi.npy,train,good serve aimed at t fp miss-hits a rs wide of the court
P00000503,V009.mp4_230520_230645.avi.npy,train,np serves an ace in the corner
P00000504,V009.mp4_233313_233418.avi.npy,train,fine serve fp is unable to return it over the net
P00000505,V009.mp4_233712_233845.avi.npy,train,np aims a fine serve out wide fp reaches for a rs return np comes to net and slams a rs winner
P00000506,V009.mp4_234186_234296.avi.npy,train,slice serve fp is unable to return it
P00000507,V009.mp4_234666_234733.avi.npy,train,np serves an ace wide
P00000508,V009.mp4_235833_236003.avi.npy,train,fp arrows a good serve at t np just manages a ls return fp slams a ls winner
P00000509,V009.mp4_236465_236639.avi.npy,train,fp produces a good serve in the corner np just manages a ls return fp slams a rs winner down the line
P00000510,V009.mp4_238254_238448.avi.npy,train,good serve in the middle np returns a ls return np cross-court ls catches the net
P00000511,V009.mp4_239224_239415.avi.npy,train,good serve in the middle np crafts a ls return fp sends a ls cross-court wide of the court
P00000512,V009.mp4_240001_240492.avi.npy,train,fp serves a high kick serve np works a ls return intense rally np fails to keep a cross-court ls in the play
P00000513,V009.mp4_243236_243357.avi.npy,train,nice serve by fp np faces difficulty in returning it
P00000514,V009.mp4_243940_244154.avi.npy,train,fine serve placed out wide np returns a ls return short rally fp strokes a rs cross-court winner
P00000515,V009.mp4_244748_244891.avi.npy,train,fine serve np puts back a rs return fp produces a rs cross-court winner
P00000516,V009.mp4_245537_245755.avi.npy,train,heavy serve aimed at t np works a rs return couple of shots exchanged fp hits a rs drop-shot winner
P00000517,V009.mp4_247165_247310.avi.npy,train,good serve aimed in the middle fp miss-hits into the net
P00000518,V009.mp4_248001_248330.avi.npy,train,fine serve fp delivers a rs return brief rally fp attempts a ls cross-court but it lands wide
P00000519,V009.mp4_249063_249220.avi.npy,train,np aims a fine serve at t fp only manages to touch it
P00000520,V009.mp4_249638_249828.avi.npy,train,np serves a good one fp puts back a rs return np cross-court rs finds the net
P00000521,V009.mp4_250454_250555.avi.npy,train,monumental serve is an ace
P00000522,V009.mp4_253242_253508.avi.npy,train,fine serve fp works a rs return brief rally np cross-court rs lands out-side the court
P00000523,V009.mp4_254094_254415.avi.npy,train,quick serve fp returns a rs return hard fought rally fp comes in quickly tries a rs volley but fails to land it in the court
P00000524,V009.mp4_254906_255045.avi.npy,train,good serve aimed at t fp only reaches to it
P00000525,V009.mp4_255369_255469.avi.npy,train,np hits a flat serve at t it's an ace
P00000526,V009.mp4_255832_256021.avi.npy,train,fine serve fp puts back a rs return brief rally np comes in quickly tries a rs volley but fails to clear the net
P00000527,V009.mp4_256961_257213.avi.npy,train,np serves a good one fp works a rs return good rally fp cross-court rs lands at the net
P00000528,V009.mp4_258226_258562.avi.npy,train,good serve in the middle np returns a ls return good rally fp ls goes outside the court
P00000529,V009.mp4_259476_259677.avi.npy,train,fine serve np delivers a ls return a couple of shots exchanged np sends a rs cross-court out of the court
P00000530,V009.mp4_260954_261185.avi.npy,train,quick serve np returns a quick ls return couple of shots exchanged np blasts a rs winner down the line
P00000531,V009.mp4_261931_262354.avi.npy,train,fp serves a good one np puts back a ls return good rally fp hits a ls winner down the line
P00000532,V009.mp4_263590_263859.avi.npy,train,good serve in the middle np crafts a rs return brief rally fp sprays a ls outside the court
P00000533,V009.mp4_264820_265142.avi.npy,train,fp serves a high kick serve np delivers a ls return good rally np cross-court ls fails to clear the net
P00000534,V009.mp4_266134_266431.avi.npy,train,quick serve np returns a ls return good rally np cross-court rs slice lands out-side the court
P00000535,V009.mp4_267975_268111.avi.npy,train,bodyline serve np has no answer to it
